iter	Logloss
0	0.6149756856
1	0.5714504461
2	0.5377260438
3	0.5114250582
4	0.4906295551
5	0.4738171947
6	0.4593981975
7	0.447890623
8	0.4284898306
9	0.4173650811
10	0.4005897094
11	0.3942835941
12	0.3890333724
13	0.383132997
14	0.3654238052
15	0.3618555536
16	0.3578538983
17	0.3550222187
18	0.3501570025
19	0.3463179502
20	0.3437933577
21	0.3417278159
22	0.3393156605
23	0.3376044807
24	0.3285063941
25	0.3269090977
26	0.3227202023
27	0.3210764926
28	0.3198158118
29	0.3185656466
30	0.3171788831
31	0.315330005
32	0.3143622823
33	0.312728938
34	0.3079660036
35	0.303781639
36	0.3021724756
37	0.3008258156
38	0.2998139803
39	0.2979373484
40	0.2958647833
41	0.2952127381
42	0.2939460194
43	0.2889599492
44	0.2879896087
45	0.2865041704
46	0.2846486509
47	0.2831017989
48	0.2822400916
49	0.280950622
50	0.2802919975
51	0.2785251983
52	0.2772870219
53	0.276735547
54	0.2743926578
55	0.2736191375
56	0.2722678931
57	0.2709314108
58	0.2697219077
59	0.2688259063
60	0.2682584965
61	0.2671501623
62	0.2661933751
63	0.2650644496
64	0.2635116392
65	0.2626008987
66	0.2621215234
67	0.2616040612
68	0.2594351118
69	0.2586609411
70	0.2581411423
71	0.2570500224
72	0.2561214728
73	0.2547489374
74	0.2542861489
75	0.2530344243
76	0.2522351996
77	0.2518771095
78	0.2508931232
79	0.2501488188
80	0.2497666435
81	0.2491315461
82	0.2485112809
83	0.2474133685
84	0.2468496485
85	0.2461258582
86	0.245629387
87	0.2452565235
88	0.2448839218
89	0.2444372532
90	0.2441524293
91	0.2433642421
92	0.2429264373
93	0.241541076
94	0.2412520087
95	0.2409662085
96	0.2401045747
97	0.2398127746
98	0.2388323474
99	0.2378798577
