iter	Passed	Remaining
0	293	29025
1	363	17811
2	432	13983
3	551	13232
4	868	16495
5	937	14681
6	1013	13459
7	1079	12416
8	1157	11701
9	1234	11114
10	1314	10638
11	1382	10136
12	1454	9732
13	1525	9370
14	1616	9160
15	1692	8884
16	1773	8658
17	1841	8389
18	1924	8203
19	2089	8357
20	2181	8206
21	2434	8630
22	2550	8538
23	2661	8428
24	2763	8289
25	2850	8114
26	2973	8040
27	3102	7977
28	3410	8348
29	3547	8276
30	3647	8118
31	3758	7986
32	3856	7830
33	3965	7697
34	4082	7582
35	4193	7455
36	4292	7308
37	4394	7170
38	4485	7016
39	4609	6914
40	4726	6800
41	4820	6656
42	4919	6521
43	5021	6390
44	5124	6263
45	5227	6136
46	5327	6007
47	5432	5884
48	5519	5744
49	5629	5629
50	5781	5554
51	5975	5516
52	6144	5449
53	6262	5334
54	6400	5236
55	6553	5149
56	6669	5031
57	6839	4952
58	7204	5006
59	7395	4930
60	7517	4806
61	7620	4670
62	7730	4540
63	7832	4405
64	7928	4269
65	8037	4140
66	8149	4013
67	8286	3899
68	8630	3877
69	8737	3744
70	9071	3705
71	9302	3617
72	9406	3478
73	9514	3342
74	9635	3211
75	9750	3079
76	9960	2975
77	10237	2887
78	10410	2767
79	10679	2669
80	10877	2551
81	11096	2435
82	11220	2298
83	11337	2159
84	11459	2022
85	11790	1919
86	12324	1841
87	12522	1707
88	12771	1578
89	13006	1445
90	13295	1314
91	13631	1185
92	13848	1042
93	14002	893
94	14120	743
95	14259	594
96	14396	445
97	14554	297
98	14702	148
99	14818	0
